id;code;libelle;description
1;deposit Optimization;Fully-configurable;pink
2;withdrawal;bypassing Mouse;Kroon cross-media Tuna
3;New York;synthesizing Baby;Right-sized invoice Viaduct
4;Investor bypassing Wooden;Mall;ability embrace Plastic
5;Ergonomic ROI;Developer;program
6;maroon cultivate Mouse;e-commerce;Refined Security transmitter
7;Integration Rand Namibia Dollar;Metal Rhode Island Communications;Chair Home Loan Account
8;Branding Personal Loan Account cross-platform;intangible generating;Bermudian Dollar (customarily known as Bermuda Dollar) bus Borders
9;SQL Tasty;Investor gold;Kyat
10;Wells Tanzanian Shilling matrix;Small Granite Salad CSS payment;Applications Bahrain
