id;code;libelle;description;consommable;quantite_seuil;garantie_seuil;expiration_seuil;expirable;famille_id;unite_id
1;programming;generating;portals;false;30474;73530;89700;true;1;1
2;Credit Card Account invoice back up;Tools;circuit;false;30313;1770;2314;false;2;2
3;Virginia Ergonomic;Iran Electronics;deposit Accountability;true;62192;10083;68520;true;3;3
4;optimal Bedfordshire;Future systematic;cohesive;false;74307;16877;20957;false;4;4
5;Practical Metal Keyboard Checking Account;Turkish Lira Djibouti Franc tan;productivity harness;false;45407;98318;25698;true;5;5
6;synthesizing;SMTP;Credit Card Account eyeballs invoice;false;32996;12619;88709;true;6;6
7;disintermediate Graphic Interface;Bedfordshire Face to face salmon;Intelligent Metal Cheese;true;50025;57790;49118;false;7;7
8;functionalities Licensed Practical;Sports;Street Digitized;true;14776;34729;63329;false;8;8
9;Granite Village;cross-platform;system compressing;false;89134;79010;3499;false;9;9
10;real-time HDD Gloves;motivating Haven 4th generation;RSS Strategist;false;59690;82686;89234;false;10;10
