id;code;libelle;url_image;article_id
1;Operations;Optimization programming granular;digital;1
2;monetize;Fields back-end Sausages;Nauru;2
3;circuit vertical withdrawal;Sausages technologies parse;strategize Technician calculating;3
4;bandwidth panel time-frame;Pre-emptive distributed;Colorado;4
5;Granite withdrawal bricks-and-clicks;collaboration quantifying;projection ability Montana;5
6;invoice hacking;Sports Integrated e-tailers;technologies Tasty Rubber Tuna;6
7;Cedi US Dollar Clothing;magenta;Ferry;7
8;Checking Account invoice;violet back up Yen;wireless transmitting overriding;8
9;transmit Avon;frictionless Berkshire;synergize Savings Account;9
10;e-markets Sharable;programming;connecting quantify Incredible Steel Salad;10
