id;code;libelle
1;SCSI back-end;Automotive port
2;Savings Account;Executive
3;Wooden Burg Computer;Technician Borders
4;integrated;Cambridgeshire
5;Coordinator online;Pizza
6;El Salvador Colon US Dollar heuristic Gorgeous;United States Minor Outlying Islands Chair
7;Iran Borders Developer;Credit Card Account Canyon Orchestrator
8;Avenue South Georgia and the South Sandwich Islands;Bacon Future Unbranded Soft Towels
9;Keyboard Minnesota;Health Pre-emptive Ergonomic
10;web services SAS content-based;Chair disintermediate Auto Loan Account
